Tanggal,Terakhir
2020-07-03,4973.7939
2020-07-06,4988.8662
2020-07-07,4987.0820
2020-07-08,5076.1738
2020-07-09,5052.7939
2020-07-10,5031.2559
2020-07-13,5064.4468
2020-07-14,5079.1221
2020-07-15,5075.7979
2020-07-16,5098.3740
2020-07-17,5079.5850
2020-07-20,5051.1060
2020-07-21,5114.7090
2020-07-22,5110.1870
2020-07-23,5145.0098
2020-07-24,5082.9912
2020-07-27,5116.6660
2020-07-28,5112.9888
2020-07-29,5149.6299
2020-07-30,5149.6270
2020-08-03,5006.2231
2020-08-04,5075.0020
2020-08-05,5127.0508
2020-08-06,5178.2720
2020-08-07,5143.8931
2020-08-10,5157.8340
2020-08-11,5190.1699
2020-08-12,5233.4521
2020-08-13,5239.2500
2020-08-14,5247.6899
2020-08-18,5295.1738
2020-08-19,5272.8101
2020-08-24,5277.0410
2020-08-25,5338.8882
2020-08-26,5340.3281
2020-08-27,5371.4722
2020-08-28,5346.6592
2020-08-31,5238.4868
2020-09-01,5310.6792
2020-09-02,5311.9702
2020-09-03,5280.8130
2020-09-04,5239.8511
2020-09-07,5230.1958
2020-09-08,5244.0718
2020-09-09,5149.3760
2020-09-10,4891.4609
2020-09-11,5016.7119
2020-09-14,5161.8281
2020-09-15,5100.8652
2020-09-16,5058.4819
2020-09-17,5038.4009
2020-09-18,5059.2231
2020-09-21,4999.3599
2020-09-22,4934.0928
2020-09-23,4917.9551
2020-09-24,4842.7559
2020-09-25,4945.7910
2020-09-28,4906.5479
2020-09-29,4879.0981
2020-09-30,4870.0391
2020-10-01,4970.0942
2020-10-02,4926.7339
2020-10-05,4958.7690
2020-10-06,4999.2212
2020-10-07,5004.3271
2020-10-08,5039.1421
2020-10-09,5053.6631
2020-10-12,5093.0991
2020-10-13,5132.5718
2020-10-14,5176.0991
2020-10-15,5105.1499
2020-10-16,5103.4141
2020-10-19,5126.3301
2020-10-20,5099.8398
2020-10-21,5096.4458
2020-10-22,5091.8159
2020-10-23,5112.1880
2020-10-26,5144.0488
2020-10-27,5128.2251
2020-11-02,5115.1279
2020-11-03,5159.4521
2020-11-04,5105.1992
2020-11-05,5260.3262
2020-11-06,5335.5288
2020-11-09,5356.0049
2020-11-10,5462.7388
2020-11-11,5509.5132
2020-11-12,5458.6021
2020-11-13,5461.0581
2020-11-16,5494.8721
2020-11-17,5529.9399
2020-11-18,5557.5181
2020-11-19,5594.0591
2020-11-20,5571.6558
2020-11-23,5652.7642
2020-11-24,5701.0288
2020-11-25,5679.2471
2020-11-26,5759.9160
2020-11-27,5783.3350
2020-11-30,5612.4150
2020-12-01,5724.7422
2020-12-02,5813.9868
2020-12-03,5822.9419
2020-12-04,5810.4829
2020-12-07,5930.7588
2020-12-08,5944.4092
2020-12-10,5933.6982
